steam_name,country_iso2,frequency
Wolfire Games,US,2
Wishes Ultd.,,2
WildTangent,,2
Warhorse Studios,CZ,2
Vostok Games,,2
Vertigo Gaming Inc.,,2
Vega Castañeda,,2
Vanguard Games,,2
United Independent Entertainment,,2
United Front Games,CA,2
Undergrad Steve,,2
Ubisoft Toronto,CA,2
Ubisoft Quebec,CA,2
Ubisoft Paris,FR,2
Ubisoft Bucharest,RO,2
Ubisoft  Shanghaï,CN,2
U-ROOM,,2
Tyler Glaiel,,2
Ty Taylor,,2
Twisted Pixel Games,US,2
Turtle Rock Studios,US,2
Turquoise Revival Games,,2
Troika Games,,2
Triskell Interactive,FR,2
Trilobyte Games,,2
TreeFortress Games,,2
Transhuman Design,,2
Tomorrow Corporation,,2
Tiger Style,,2
Thunder Lotus,CA,2
Thorne Games,,2
The Game Bakers,FR,2
The Farm 51,PL,2
THE BROTHERHOOD,,2
The Binary Mill,ES,2
The Astronauts,PL,2
The Artistocrats,,2
Terrible Posture Games,,2
Terri Vellmann,,2
Terminal Reality,US,2
Tennen-sozai,,2
Team Jolly Roger,FR,2
Team Cherry,AU,2
Tango Gameworks,,2
Syun-kan Flowlighter,,2
Subsoap,,2
Subset Games,,2
Subatomic Studios LLC,,2
Studio Wildcard,US,2
Studio Pixel,,2
Studio II,,2
Strategy First,CA,2
Strange Loop Games,,2
Stranga Games,,2
Stoic,,2
State of Play,GB,2
Square Enix Montréal,CA,2
Spooky Doorway,,2
Space Cat Studios,,2
Soul Catapult,,2
Sos Sosowski,,2
Sokpop Collective,,2
SnowFlame,,2
Snowbird Games,,2
Snapshot Games Inc.,,2
Snail Games USA,,2
SmallSqurriel,,2
Slipgate Ironworks™,,2
SkyBox Labs,CA,2
SimTex,,2
Simogo,,2
Shimobashira Workshop,,2
Serenity Forge,US,2
Sekerin Productions,,2
Secret Labo,,2
Secret Garden,,2
Sean Young,,2
Scavengers Studio,CA,2
Santa Ragione,IT,2
Runner Duck,,2
RosePortal Games,,2
Rogue Factor,CA,2
Rogue Entertainment,,2
Rodeo Games,GB,2
ROCKFISH Games,,2
Robert Briscoe,,2
RLR Training Inc,,2
Respawn Entertainment,US,2
Remtairy,,2
"Reflections, a Ubisoft Studio",,2
Red Dot Games,PL,2
Red Barrels,CA,2
Rain Games,,2
Radon Labs,DE,2
Radical Entertainment,CA,2
Radial Games Corp,CA,2
Psytec Games Ltd,GB,2
ProjectMoon,,2
Popcannibal,US,2
Polyslash,PL,2
Pocketwatch Games,US,2
Pocketpair,,2
PlayWay S.A.,,2
Playdead,DK,2
Pivotal Games,GB,2
Pinokl Games,,2
People Can Fly,PL,2
Paul Cuisset,,2
PanicBarn,,2
Panda Indie Studio,,2
OVERKILL - a Starbreeze Studio.,,2
Over the Top Games,ES,2
Other Ocean Interactive,,2
Ota Guchi Field,,2
OSome Studio,FR,2
Osmotic Studios,DE,2
Offworld,,2
Numantian Games,,2
NukGames,,2
NOVECT,,2
Nomad Games,GB,2
Nival,CY,2
Ninja Kiwi,,2
Night School Studio,,2
New World Interactive,US,2
Nerial,,2
NEKO WORKs,,2
Neko Entertainment,FR,2
Narko Games,,2
Naked Sky Entertainment,US,2
N-Fusion Interactive,,2
MPS Labs,,2
Movie Games Lunarium,PL,2
Mousechief,,2
Monolith Productions,US,2
Monolith,,2
Monkey Moon,FR,2
moi rai games,,2
Mohawk Games,US,2
Misfits Attic,,2
Mint Age Studios,,2
Mimimi Games,,2
Mihai Morosanu,,2
Mighty Rabbit Studios,,2
"MicroProse Software, Inc.",,2
Microblast Games,,2
Messhof,US,2
MC2,,2
Mazen Games,,2
Maxis™,,2
Maxis,,2
Massive Monster,GB,2
Massive Entertainment,SE,2
Malfador Machinations,,2
Madmind Studio,PL,2
Maddy Makes Games Inc.,,2
Ludosity,SE,2
Lucas Pope,,2
Lovely Pretty Ultra Loving You,,2
LKA,,2
Liquid Entertainment,,2
Lionhead Studios,GB,2
Le Cartel Studio,FR,2
Lavaflame2,,2
L7team,,2
Kyle Seeley,,2
Kverta,,2
KOJIMA PRODUCTIONS,,2
Kingdom Games,,2
Katauri Interactive,,2
Kaos Studios,,2
kamichichi,,2
Juvty Worlds,,2
JCKSLAP,,2
Iridium Studios,US,2
InterWave Studios,,2
Insomniac Games,US,2
inkle Ltd,,2
Infinity Plus 2,,2
Infinite Interactive,AU,2
increpare games,,2
IMGN.PRO,PL,2
IllFonic,US,2
Ian Campbell,,2
hyperboreanGames,,2
Housemarque,FI,2
High Moon Studios,US,2
Hi-Rez Studios,US,2
Heart Machine,,2
Hazelight Studios,,2
Grip Digital,CZ,2
Grinding Gear Games,NZ,2
Grimlore Games,DE,2
Greg Lobanov,,2
Gray Matter Studios,DE,2
GRASSHOPPER MANUFACTURE INC.,JP,2
Goblinz Studio,FR,2
Glass Bottom Games,,2
Giants Software,CH,2
GhostShark,,2
Ghost Town Games Ltd.,,2
gamigo US Inc.,,2
Gaijin Entertainment,RU,2
FYQD-Studio,,2
Fullbright,,2
Frontier,,2
Frogames,,2
Freejam,GB,2
Freehold Games,,2
Freebird Games,,2
Free Reign Entertainment,,2
Fredaikis AB,,2
Four Quarters,,2
Four Circle Interactive,,2
Flynn's Arcade,,2
Flying Oak Games,,2
Flow Fire Games,DE,2
Flashback Games,,2
Flaming Fowl Studios,GB,2
Fishing Cactus,,2
Fireproof Games,,2
Fictiorama Studios,ES,2
Facepunch Studios,GB,2
"Extremely OK Games, Ltd.",,2
Entertainment Forge,,2
Enokippu,,2
Enitvare,,2
Endnight Games Ltd,,2
Embark Studios,SE,2
Electronic Arts,US,2
Eidos Montreal,,2
EGAMER,,2
Efecto Studios,CO,2
Eden Industries,,2
Edelweiss,,2
Easy game,,2
Eastshade Studios,US,2
EA Pacific,,2
EA - Maxis,US,2
Dystopian Project,,2
Dylan White,,2
DTP,,2
Dry Cactus,,2
Dreamatrix,,2
Dr PinkCake,,2
Double Helix Games,US,2
Doseone,,2
DON'T NOD,FR,2
Doctor Entertainment AB,SE,2
Digixart,,2
Devil's Details,GB,2
Destructive Creations,PL,2
Dennaton Games,,2
Demonware,IE,2
Deep Shadows,,2
Deconstructeam,,2
Deck 13,,2
Days of Wonder,ES,2
David OReilly,,2
David Moralejo Sánchez,,2
Darkflow Software,,2
DarkBasicSoftwareLimited,,2
Daniel Mullins Games,,2
Dani,,2
Daijyobi Institute,,2
Dagger Games,,2
D3T,,2
Cyan Worlds Inc,,2
Cultic Games,TR,2
Cryo Interactive,,2
Criterion Games,GB,2
Crema,,2
Creative Assembly,GB,2
Crate Entertainment,,2
Crafty Studios,,2
Cosmo D,,2
Coreplay GmbH,DE,2
Compulsion Games,CA,2
Cobra Mobile,GB,2
ClockStone,,2
"CINEMAX, s.r.o.",,2
Chucklefish,,2
Chromatic Games,,2
Chris Sawyer Productions,,2
Choice Provisions,,2
Cellar Door Games,CA,2
CCP,IS,2
Cats Who Play,,2
CaptureAge,BE,2
Capcom Vancouver,,2
"CAPCOM CO., LTD.",,2
Bungie,US,2
Bugbear,,2
Brilliant Game Studios,CA,2
Brainwash Gang,,2
Born Ready Games Ltd.,,2
BlueEagle Productions,,2
"Blizzard Entertainment, Inc.",,2
Blit Software,,2
Blindflug Studios AG,,2
Blind Squirrel Games,US,2
Blind Squirrel,US,2
BlackMuffin,,2
Blackbird Interactive,,2
Black Forest Games,DE,2
Black Cactus,GB,2
Bizarre Creations,GB,2
"BitMonster, Inc.",,2
Bithell Games,,2
Bigmoon Studios,PT,2
Big Huge Games,US,2
Big Bad Wolf,US,2
BetaDwarf,AU,2
Behold Studios,CA,2
Beenox,CA,2
Bedtime Digital Games,DK,2
Bear in the Night,,2
Bacon Bandit Games,CA,2
Auroch Digital,GB,2
Atooi,,2
Asgar Knights,,2
"Armature Studio, LLC",,2
Arkedo,,2
Arachnid Games,US,2
Apeiron,,2
Andrew Morrish,,2
Almost Human Games,,2
All in! Games,PL,2
Alister Software,,2
Alan Hazelden,,2
Akella,BE,2
Airtight Games,US,2
ACQUIRE Corp.,JP,2
Acid Nerve,,2
7th Beat Games,CZ,2
4HEAD Studios,,2
3D Realms,DK,2
2x2 Games,,2
2K China,CN,2
2K Boston,,2
22cans,GB,2
16bit Nights,,2
永恆艾莉絲工坊,,2
台灣香蕉王,,2
Zorro,,1
Zoom Platform,,1
Zoink Games,,1
Zoink,,1
Zoe Vartanian,,1
Zoë Mode,GB,1
Zino,,1
Zero Gravity,RS,1
Zenith Blue,,1
ZeniMax Online Studios,,1
ZemunBRE,,1
Zeekerss,,1
Zbigniew Ochman,,1
Zandel Media,,1
ZackBellGames,,1
ZA/UM,GB,1
"Yuke's Co., LTD",,1
Youthcat Studio,,1
Young Horses,US,1
YOTSUBANE,,1
Yosemite Entertainment,US,1
Yeti Trunk,,1
Yeehaw Games,,1
YCJY Games,,1
Yaza Games,,1
Yasagure Kitsuenjyo,,1
Yak & Co,US,1
YAGER,DE,1
Yacht Club Games,ES,1
XYLA Entertainment,,1
XLGAMES,,1
xemono,,1
Xelu,,1
Xeirel Software,,1
XD,GB,1
Xatrix Entertainment,,1
X1 Software,,1
WZOGI,,1
Wulo Games,,1
Wube Software LTD.,GB,1
WSS playground,,1
Worldwalker Games LLC,,1
World Makers,GB,1
Wonderstruck,GB,1
WOLCEN Studio,FR,1
Wizarbox,,1
Witching Hour Studios,,1
Witch Beam,,1
"Wise Wizard Games, LLC",,1
Winter Wolves,,1
Windforce,,1
Wilnyl,,1
Wildfire Game（无锡野火数字科技有限公司）,,1
Wild Shadow Studios,,1
Wild Factor,FR,1
Wicpar,,1
Wicked Witch,AU,1
WhiteMoor,,1
WhiteMoon Dreams,,1
WhiteCute,,1
"What Pumpkin Games, Inc.",,1
Whale Rock Games,TR,1
Westwood Pacific,,1
WeMade,,1
WeirdBeard,NL,1
Weather Factory,GB,1
Weappy Studio,,1
WB Games Montreal,US,1
Wayward Design,,1
Wavedash Games,,1
Waterlily Games,,1
WastedStudios,,1
WarpFrog,FR,1
Warner Bros. Games Montréal,,1
Wargaming.net,,1
Walt Disney Studios,,1
Wallpaper Engine Team,,1
Wallimog & Friends,AE,1
Wako Factory,FR,1
WaitingIdly,,1
Waffle,,1
Wadjet Eye Games,,1
VRChat Inc.,,1
Vortex Games,,1
Void Studios,,1
VOID Interactive,,1
Vivid Games S.A.,,1
Vivid Games,PL,1
Vitali Kirpu,,1
"Visual DART Co., Ltd",,1
Visceral Games,,1
Virtuos Games,,1
Virtuos,SG,1
Virtual Programming (Linux),,1
VipaGames,,1
Vincent Thiele,,1
Villa Gorilla,,1
Vilelab,,1
Vilaskis,,1
Videocult,,1
Victor Solodilov,,1
Vertex Pop,,1
vedinad,,1
Vectorpark,,1
Vector3 Studio,,1
"Vblank Entertainment, Inc.",,1
Variable State,GB,1
vanripper,,1
VALOFE,,1
"USERJOY Technology Co.,Ltd.",,1
Urban Games,CH,1
Uppercut Games Pty Ltd,,1
Upper One Games,,1
UPLAY Online,,1
Untame,,1
United Independent Entertainment GmbH,,1
Unigine Corp.,,1
Unfold Games,US,1
Undertow Games,,1
Uncasual Games,,1
Unbound Creations,US,1
UN JE NE SAIS QUOI,,1
Umix Studios,FR,1
UMANIMATION,,1
Umami Tiger (Matthias Linda),,1
ULTRA ULTRA,DK,1
Ulfsire,,1
UL Solutions,,1
Ubisoft Sofia,BG,1
Ubisoft Singapore,SG,1
Ubisoft Shanghai,CN,1
Ubisoft Pune,IN,1
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",,1
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",,1
Ubisoft Montréal,CA,1
Ubisoft Milan,IT,1
Ubisoft Kiev,,1
Ubisoft Bulgaria,,1
Ubisoft Belgrade,RS,1
Ubisoft Annecy,FR,1
Ubisoft - San Francisco,,1
Tyu,,1
Typhoon,HK,1
Tymon Zgainski,,1
Two Point Studios,GB,1
Twistplay,,1
Twelve Tiles,,1
Twelve Games,,1
TVGS,,1
Tuxedo Labs,SE,1
Turtle Cream,,1
Tuque Games,,1
TUNNEL No.73,,1
tT Studios,,1
TT Fusion,GB,1
Tsukinomizu Project,,1
TrueThought,,1
Triternion,SI,1
Triple.B.Titles,,1
TRIP,,1
Trioskaz,,1
Trion Worlds,,1
Trinket Studios,US,1
Trine Studios,,1
Triangle!,,1
TRI.G,,1
Trepang Studios,,1
Tree Men Games,PK,1
TREASURE,,1
Trashmasters,,1
TrampolineTales,,1
Tragnarion Studios,ES,1
Toys for Bob,US,1
Toylogic Inc.,,1
Toxic Dog,,1
Tour De Pizza,,1
Toukana Interactive,,1
Torn Banner Studios,CA,1
Topware Interactive,,1
Toothless T-Rex,,1
Too Kind Studio,FR,1
Tonguç Bodur,,1
Tomoaki Sugeno,,1
TommahGames,,1
Tomlab Games,,1
Tomkorp Computer Solutions Inc.,,1
Tomi Maarela,,1
Tomasz Wacławek,,1
Tomás Batista,,1
Tolga Ay,,1
tobyfox,,1
tobspr Games,DE,1
Tobias Springer,,1
Tobias Sjögren,,1
ToastieLabs,,1
Toadman Interactive,SE,1
TNT Team,,1
TML Team,,1
TLM Partners,,1
TK Studio,,1
Titan Forge Games,US,1
tinyBuild,,1
Tiny Mold,,1
Tiny Lab Productions,LT,1
Timon Herzog,,1
TikGames,,1
Tiger and Squid,,1
Tideturners,,1
TickTock Games,GB,1
Thylacine Studios,,1
Thunderful,,1
THS,,1
THREE ONE ZERO,CN,1
Three Gates,SE,1
Three Fields Entertainment,,1
Three Donkeys LLC,,1
Threaks,,1
THQ Nordic Barcelona,AT,1
Thoughtshelter Games,,1
Those Awesome Guys,RO,1
Thorium,CA,1
Thomas Moon Kang,,1
Thomas M. Visser,,1
ThirtyThree,,1
Third Millenium Software,,1
Thing Trunk,,1
Theresa Duringer,,1
thePetHen,,1
TheLiquidHorse,,1
"Thekla, Inc.",,1
TheGameCreators,,1
The Wall Productions Inc.,,1
The Tiniest Shark,,1
The Story Mechanics,,1
The Sims Studio,,1
