name,country_iso2,region,locality
ogo play,TR,,
hachimitsu game development,PH,quezon city,capital
one dot games,TR,istanbul,
tezotrooperz,FR,ile-de-france,paris
mercadoskin,BR,sao paulo,guarulhos
angry seals games,FR,auvergne-rhône-alpes,lyon
bad move std,FR,ile-de-france,paris
valley of bushes,NL,noord-holland,amsterdam
zgen studio,IN,delhi,delhi
antari,PL,,
digital corgi productions,GB,greater london,london
cordless games limited,NZ,auckland,auckland
harmony,FR,auvergne-rhône-alpes,bron
tokentrotter,ES,,
reclaim studios,MY,selangor,subang jaya
lost tales studios,TR,canakkale,
skyline studios games,GB,rotherham,wales
armoury technologies,RO,bucuresti,bucharest
styxcon,DE,,
auriga interactive studios,US,new york,new york
"horse box,ponipet.com, ltd.",
esports aberdeen,GB,aberdeen city,aberdeen
playzap games,ES,,
bootloader studio,VN,ho chi minh city,
raging moose - game design & production consultancy,CA,british columbia,vancouver
gia games,TR,istanbul,
creare videogiochi,IT,,
ko.gg,IN,nct,new delhi
beemverse,TR,istanbul,
metavurx vr,AU,new south wales,engadine
melee torch fest,US,new york,brooklyn
tamarin play,FR,ile-de-france,paris
"oi side at dcgi,dcgi.fel.cvut.cz, ctu fee prague",prague
rotten realms,US,california,los angeles
fenneccino,FR,pays de la loire,nantes
raptr games,PK,sindh,karachi
teckoe studios,GB,telford and wrekin,telford
green earth metaverse,GB,greater london,london
supersonic industries,US,colorado,denver
flagon entertainment inc.,US,california,san mateo
takita games,CY,limassol,
lëtzplay,LU,luxembourg,bivange
endymion ltd,HK,central and western,hong kong
ninefeet,GB,greater london,london
od game studio,TR,ankara,eryaman
dagon studios,TR,istanbul,
roamer games,DE,berlin,
centuria games,TR,ankara,
the last game studio,US,colorado,denver
spiky duck studio,ES,madrid,
soft rains,CA,ontario,toronto
graded gaming,US,kentucky,louisville
ludaccess,FR,,
tripolis games,GB,east sussex,
rize games,US,,
fairfield audio,CA,british columbia,kelowna
the mirror: real-time game development platform,US,florida,miami
respawn esports centre,NZ,wellington,te aro
seksek games,TR,antalya,
pt royal garuda meta semesta,ID,jakarta,
defectedgamesstudio,US,florida,crestview
yourlife,US,nebraska,fremont
evil snail,GB,north lincolnshire,
fructucus,SE,,
shosha games,RS,central serbia,belgrade
hasoo design,MT,iz-zejtun,zejtun
njord game studio,TR,,
bluelite studio,PT,leiria,pombal
yonder pixels,US,new york,clifton park
dgamer.io,US,california,san francisco
immerspiele,DK,,
kudos games,TR,istanbul,
last bite games,TR,istanbul,besiktas
olleyo,DE,north rhine-westphalia,düsseldorf
they play games,GB,leeds,leeds
kreative kraut ug (haftungsbeschränkt),DE,bayern,kempten
ephesus games,US,delaware,newark
super jump games inc.,US,california,san francisco
creaturium studio,FR,ile-de-france,villejuif
quantumloop,IN,karnataka,bengaluru
8great games llc,US,florida,orlando
bettelapp,IN,madhya pradesh,
stalwartcreative,IN,rajasthan,jaipur
sparko,EE,harjumaa,tallinn
exeaio,BD,dhaka,
isotopic,GR,crete,
cassandra's curse studio,US,oregon,portland
shettyindustries,IN,karnataka,bengaluru
losgame,TR,istanbul,istanbul
giga fun studios,IN,karnataka,bengaluru
openharbor,UA,kyiv,
azutreo,US,louisiana,lafayette
unikfame,US,new york,new york
hyper casual community,TR,,
vrh,DE,berlin,
music for metaverse,DE,,
duolink tech,MA,grand casablanca,bournazel
mayhem studios,IN,karnataka,bengaluru
feudal network,US,florida,daytona beach
legacy of allard,BR,rio de janeiro,
crosshair games,IN,karnataka,bengaluru
video game culture club (dvc),US,california,pleasant hill
another path studios,ES,madrid,san agustin de guadalix
barely alive studio,BR,rio de janeiro,
upside gaming,US,new york,new york
handlessgame,IT,lazio,rome
eco heroes,AE,dubai,
symatross,IN,delhi,new delhi
spirit rp,GB,greater london,london
pride game studios llc,US,california,sacramento
king dreams,IR,,
companion group,GB,england,london
2747 games,IN,uttar pradesh,lucknow
fungiball,FR,ile-de-france,paris
lycia studio,TR,istanbul,
up games,BR,,
athaddak,JO,amman,
siro games,CH,geneva,
murror games studio,SA,ar riyāḑ,riyadh
magic circle studio,US,california,oakland
oceanty,US,virginia,virginia beach
easytiger,PT,madeira,funchal
modesto games,IT,lombardy,bergamo
ruminé labs,SG,central singapore,singapore
ascgames,BR,santa catarina,florianópolis
vancouver game developers guild,CA,british columbia,vancouver
san esport,FR,ile-de-france,paris
slumber party,ES,catalonia,barcelona
"korlinga,korlinga.com, llc",tallahassee
effective games,TR,elazığ,
uk & ireland esports & gaming networking,GB,,
gamingpin,TR,istanbul,
one magic school,VN,,
laddercaster,CA,quebec,montreal
dark forest interactive,US,florida,jacksonville
archi´s game studio,VE,,
