"Embark Studios","2"
"Electronic Arts","2"
"Eidos Montreal","2"
"EGAMER","2"
"Efecto Studios","2"
"Eden Industries","2"
"Edelweiss","2"
"Easy game","2"
"Eastshade Studios","2"
"EA Pacific","2"
"EA - Maxis","2"
"Dystopian Project","2"
"Dylan White","2"
"DTP","2"
"Dry Cactus","2"
"Dreamatrix","2"
"Dr PinkCake","2"
"Double Helix Games","2"
"Doseone","2"
"DON'T NOD","2"
"Doctor Entertainment AB","2"
"Digixart","2"
"Devil's Details","2"
"Destructive Creations","2"
"Dennaton Games","2"
"Demonware","2"
"Deep Shadows","2"
"Deconstructeam","2"
"Deck 13","2"
"Days of Wonder","2"
"David OReilly","2"
"David Moralejo Sánchez","2"
"Darkflow Software","2"
"DarkBasicSoftwareLimited","2"
"Daniel Mullins Games","2"
"Dani","2"
"Daijyobi Institute","2"
"Dagger Games","2"
"D3T","2"
"Cyan Worlds Inc","2"
"Cultic Games","2"
"Cryo Interactive","2"
"Criterion Games","2"
"Crema","2"
"Creative Assembly","2"
"Crate Entertainment","2"
"Crafty Studios","2"
"Cosmo D","2"
"Coreplay GmbH","2"
"Compulsion Games","2"
"Cobra Mobile","2"
"ClockStone","2"
"CINEMAX, s.r.o.","2"
"Chucklefish","2"
"Chromatic Games","2"
"Chris Sawyer Productions","2"
"Choice Provisions","2"
"Cellar Door Games","2"
"CCP","2"
"Cats Who Play","2"
"CaptureAge","2"
"Capcom Vancouver","2"
"CAPCOM CO., LTD.","2"
"Bungie","2"
"Bugbear","2"
"Brilliant Game Studios","2"
"Brainwash Gang","2"
"Born Ready Games Ltd.","2"
"BlueEagle Productions","2"
"Blizzard Entertainment, Inc.","2"
"Blit Software","2"
"Blindflug Studios AG","2"
"Blind Squirrel Games","2"
"Blind Squirrel","2"
"BlackMuffin","2"
"Blackbird Interactive","2"
"Black Forest Games","2"
"Black Cactus","2"
"Bizarre Creations","2"
"BitMonster, Inc.","2"
"Bithell Games","2"
"Bigmoon Studios","2"
"Big Huge Games","2"
"Big Bad Wolf","2"
"BetaDwarf","2"
"Behold Studios","2"
"Beenox","2"
"Bedtime Digital Games","2"
"Bear in the Night","2"
"Bacon Bandit Games","2"
"Auroch Digital","2"
"Atooi","2"
"Asgar Knights","2"
"Armature Studio, LLC","2"
"Arkedo","2"
"Arachnid Games","2"
"Apeiron","2"
"Andrew Morrish","2"
"Almost Human Games","2"
"All in! Games","2"
"Alister Software","2"
"Alan Hazelden","2"
"Akella","2"
"Airtight Games","2"
"ACQUIRE Corp.","2"
"Acid Nerve","2"
"7th Beat Games","2"
"4HEAD Studios","2"
"3D Realms","2"
"2x2 Games","2"
"2K China","2"
"2K Boston","2"
"22cans","2"
"16bit Nights","2"
"永恆艾莉絲工坊","2"
"台灣香蕉王","2"
"Zorro","1"
"Zoom Platform","1"
"Zoink Games","1"
"Zoink","1"
"Zoe Vartanian","1"
"Zoë Mode","1"
"Zino","1"
"Zero Gravity","1"
"Zenith Blue","1"
"ZeniMax Online Studios","1"
"ZemunBRE","1"
"Zeekerss","1"
"Zbigniew Ochman","1"
"Zandel Media","1"
"ZackBellGames","1"
"ZA/UM","1"
"Yuke's Co., LTD","1"
"Youthcat Studio","1"
"Young Horses","1"
"YOTSUBANE","1"
"Yosemite Entertainment","1"
"Yeti Trunk","1"
"Yeehaw Games","1"
"YCJY Games","1"
"Yaza Games","1"
"Yasagure Kitsuenjyo","1"
"Yak & Co","1"
"YAGER","1"
"Yacht Club Games","1"
"XYLA Entertainment","1"
"XLGAMES","1"
"xemono","1"
"Xelu","1"
"Xeirel Software","1"
"XD","1"
"Xatrix Entertainment","1"
"X1 Software","1"
"WZOGI","1"
